N,mayor_a_menor,menor_a_mayor,randomizada,kahan,referencia_N_sobre_N_mas_1,error_mayor_a_menor,error_menor_a_mayor,error_randomizada,error_kahan,semilla_barrido_aleatorio
1240,0.9991941982272369,0.9991941982272361,0.999194198227237,0.9991941982272361,0.9991941982272361,7.777828560418335e-16,0.0,8.888946926192382e-16,0.0,20260912
1250,0.9992006394884099,0.9992006394884092,0.9992006394884089,0.9992006394884092,0.9992006394884093,5.555556015224283e-16,1.1111112030448566e-16,4.444444812179426e-16,1.1111112030448566e-16,20260912
1260,0.9992069785884224,0.9992069785884219,0.9992069785884217,0.9992069785884219,0.9992069785884219,5.555520770048898e-16,0.0,2.2222083080195594e-16,0.0,20260912
1270,0.9992132179386316,0.9992132179386309,0.9992132179386317,0.9992132179386309,0.999213217938631,5.555486079915646e-16,1.111097215983129e-16,6.666583295898774e-16,1.111097215983129e-16,20260912
1280,0.999219359875098,0.9992193598750976,0.9992193598750982,0.9992193598750976,0.9992193598750976,4.44436154545258e-16,0.0,6.66654231817887e-16,0.0,20260912
1290,0.9992254066615031,0.9992254066615027,0.9992254066615031,0.9992254066615027,0.9992254066615027,3.3332509878862256e-16,0.0,3.3332509878862256e-16,0.0,20260912
1300,0.9992313604919294,0.9992313604919293,0.9992313604919296,0.9992313604919293,0.9992313604919293,1.1110770423364068e-16,0.0,3.33323112700922e-16,0.0,20260912
1310,0.9992372234935164,0.9992372234935164,0.9992372234935158,0.9992372234935164,0.9992372234935164,0.0,0.0,5.555352615586184e-16,0.0,20260912
1320,0.9992429977289933,0.9992429977289932,0.9992429977289932,0.9992429977289932,0.9992429977289932,1.111064102674115e-16,0.0,0.0,0.0,20260912
1330,0.9992486851990986,0.9992486851990984,0.9992486851990987,0.9992486851990984,0.9992486851990984,2.22211555755802e-16,0.0,3.33317333633703e-16,0.0,20260912
1340,0.999254287844892,0.9992542878448918,0.9992542878448913,0.9992542878448919,0.9992542878448919,1.111051549270399e-16,1.111051549270399e-16,5.555257746351996e-16,0.0,20260912
1350,0.9992598075499631,0.9992598075499629,0.9992598075499632,0.999259807549963,0.999259807549963,1.1110454120508048e-16,1.1110454120508048e-16,2.2220908241016095e-16,0.0,20260912
1360,0.9992652461425424,0.9992652461425422,0.9992652461425423,0.9992652461425422,0.9992652461425422,2.2220787301688795e-16,0.0,1.1110393650844397e-16,0.0,20260912
1370,0.9992706053975204,0.99927060539752,0.9992706053975199,0.99927060539752,0.9992706053975201,3.333100219184868e-16,1.1110334063949558e-16,2.2220668127899115e-16,1.1110334063949558e-16,20260912
1380,0.9992758870383784,0.999275887038378,0.9992758870383792,0.999275887038378,0.999275887038378,4.444110136253163e-16,0.0,1.2221302874696197e-15,0.0,20260912
1390,0.9992810927390372,0.9992810927390366,0.9992810927390371,0.9992810927390366,0.9992810927390366,5.555108731128032e-16,0.0,4.444086984902425e-16,0.0,20260912
1400,0.9992862241256252,0.9992862241256245,0.9992862241256236,0.9992862241256245,0.9992862241256245,6.666096246427904e-16,0.0,8.888128328570539e-16,0.0,20260912
1410,0.999291282778172,0.9992912827781715,0.999291282778171,0.9992912827781715,0.9992912827781715,5.555052084206014e-16,0.0,4.444041667364811e-16,0.0,20260912
1420,0.9992962702322312,0.9992962702322308,0.9992962702322311,0.9992962702322308,0.9992962702322308,4.444019487302388e-16,0.0,3.3330146154767907e-16,0.0,20260912
1430,0.9993011879804337,0.9993011879804332,0.9993011879804328,0.9993011879804332,0.9993011879804332,4.443997617450627e-16,0.0,4.443997617450627e-16,0.0,20260912
1440,0.999306037473977,0.9993060374739764,0.9993060374739764,0.9993060374739764,0.9993060374739764,5.554970064183509e-16,0.0,0.0,0.0,20260912
1450,0.999310820124053,0.9993108201240524,0.9993108201240531,0.9993108201240524,0.9993108201240524,6.665932174059733e-16,0.0,7.776920869736356e-16,0.0,20260912
1460,0.9993155373032178,0.999315537303217,0.9993155373032179,0.999315537303217,0.999315537303217,7.776884159480462e-16,0.0,8.887867610834815e-16,0.0,20260912
1470,0.9993201903467035,0.9993201903467028,0.9993201903467025,0.9993201903467029,0.9993201903467029,5.554891391917025e-16,1.1109782783834049e-16,4.443913113533619e-16,0.0,20260912
1480,0.9993247805536805,0.9993247805536799,0.9993247805536799,0.9993247805536799,0.9993247805536799,5.554865876587355e-16,0.0,0.0,0.0,20260912
1490,0.9993293091884646,0.9993293091884641,0.999329309188464,0.9993293091884641,0.9993293091884641,5.554840703745331e-16,0.0,1.1109681407490662e-16,0.0,20260912
1500,0.9993337774816793,0.9993337774816788,0.99933377748168,0.9993337774816788,0.9993337774816788,4.443852693232961e-16,0.0,1.11096317330824e-15,0.0,20260912
1510,0.9993381866313704,0.9993381866313699,0.9993381866313699,0.99933818663137,0.99933818663137,4.443833086645329e-16,1.1109582716613322e-16,1.1109582716613322e-16,0.0,20260912
1520,0.9993425378040767,0.9993425378040762,0.9993425378040769,0.9993425378040762,0.9993425378040762,4.443813738039113e-16,0.0,6.66572060705867e-16,0.0,20260912
1530,0.9993468321358593,0.9993468321358588,0.9993468321358587,0.999346832135859,0.999346832135859,3.3328459817668915e-16,1.1109486605889638e-16,2.2218973211779277e-16,0.0,20260912
1540,0.9993510707332904,0.99935107073329,0.9993510707332893,0.9993510707332901,0.9993510707332901,3.3328318460013625e-16,1.1109439486671208e-16,7.776607640669846e-16,0.0,20260912
1550,0.999355254674404,0.9993552546744036,0.999355254674404,0.9993552546744036,0.9993552546744036,4.443757190177079e-16,0.0,4.443757190177079e-16,0.0,20260912
1560,0.9993593850096096,0.9993593850096092,0.9993593850096095,0.9993593850096092,0.9993593850096092,4.443738824204793e-16,0.0,3.332804118153595e-16,0.0,20260912
1570,0.999363462762572,0.9993634627625716,0.9993634627625716,0.9993634627625716,0.9993634627625716,4.443720692193939e-16,0.0,0.0,0.0,20260912
1580,0.9993674889310569,0.9993674889310562,0.9993674889310578,0.9993674889310563,0.9993674889310563,5.554628487127761e-16,1.1109256974255522e-16,1.4442034066532178e-15,0.0,20260912
1590,0.9993714644877443,0.9993714644877435,0.9993714644877449,0.9993714644877435,0.9993714644877436,6.665527668598581e-16,1.1109212780997634e-16,1.3331055337197161e-15,1.1109212780997634e-16,20260912
