N,b_directa,b_telescopica,b_referencia,error_b_directa,error_b_telescopica,c_racionalizada,c_sustractiva,diferencia_c
860,0.9988385598141697,0.9988385598141696,0.9988385598141696,1.1115139816305345e-16,0.0,3.558349471223906,3.5583494712240276,1.2168044349891716e-13
870,0.9988518943742826,0.9988518943742825,0.9988518943742825,1.111499143044266e-16,0.0,3.564126540431385,3.5641265404315385,1.5365486660812167e-13
880,0.9988649262202045,0.9988649262202044,0.9988649262202043,2.2229692833971886e-16,1.1114846416985943e-16,3.5698376223116424,3.569837622311888,2.4558133304708463e-13
890,0.9988776655443325,0.9988776655443324,0.9988776655443322,3.3344113986775767e-16,2.222940932451718e-16,3.575484207307823,3.575484207308045,2.220446049250313e-13
900,0.9988901220865709,0.9988901220865708,0.9988901220865705,4.445826423054516e-16,3.334369817290887e-16,3.581067735929951,3.5810677359301275,1.7630341631047486e-13
910,0.9989023051591662,0.9989023051591661,0.9989023051591658,4.44577219970777e-16,3.3343291497808273e-16,3.5865896009608127,3.5865896009611555,3.4283687000424834e-13
920,0.9989142236699247,0.9989142236699246,0.998914223669924,6.668578732694146e-16,5.557148943911789e-16,3.592051149541351,3.5920511495417253,3.743672039036028e-13
930,0.9989258861439319,0.9989258861439317,0.9989258861439313,5.557084064118391e-16,4.445667251294712e-16,3.5974536851433965,3.597453685143841,4.445332990599127e-13
940,0.9989373007438902,0.9989373007438901,0.9989373007438895,6.668424677695355e-16,5.557020564746129e-16,3.602798469436954,3.602798469437425,4.707345624410664e-13
950,0.9989484752891702,0.9989484752891701,0.9989484752891693,8.891133443524412e-16,7.77974176308386e-16,3.608086724058739,3.608086724059171,4.3209880118411093e-13
960,0.9989594172736741,0.998959417273674,0.9989594172736732,8.891036055539795e-16,7.779656548597321e-16,3.6133196322881576,3.6133196322885164,3.588240815588506e-13
970,0.9989701338825961,0.998970133882596,0.9989701338825953,8.890940675554862e-16,7.779573091110504e-16,3.6184983406364957,3.618498340636756,2.602362769721367e-13
980,0.9989806320081558,0.9989806320081557,0.9989806320081549,8.890847242100234e-16,7.779491336837704e-16,3.6236239603546476,3.6236239603548706,2.2293278334473143e-13
990,0.9989909182643801,0.99899091826438,0.9989909182643795,6.668066772142607e-16,5.556722310118839e-16,3.628697568864341,3.628697568864504,1.6298074001497298e-13
1000,0.9990009990009997,0.9990009990009996,0.999000999000999,6.66799948589869e-16,5.556666238248908e-16,3.6337202111174776,3.633720211117656,1.7852386235972517e-13
